635nm,520nm,405nm,target
29.9098,29.8871,29.8528,1
29.8748,29.8518,29.8173,1
29.9119,29.8872,29.8506,1
29.9301,29.9083,29.8733,1
29.9148,29.8938,29.8567,1
29.9304,29.9074,29.8696,1
29.9551,29.9342,29.897,1
29.9796,29.956,29.9195,1
29.9415,29.9171,29.8811,1
29.956,29.9348,29.8972,1
29.9716,29.951,29.9154,1
30.0119,29.9883,29.9503,1
30.0047,29.9838,29.9479,1
30.0146,29.9898,29.9524,1
30.0284,30.0056,29.9736,1
30.0298,30.0071,29.9728,1
30.0226,29.9999,29.9677,1
30.0719,30.0494,30.013,1
30.0759,30.0543,30.0216,1
30.0537,30.0322,29.9984,1
30.0685,30.0446,30.0095,1
30.1077,30.0848,30.0471,1
30.0992,30.0778,30.0446,1
30.1015,30.0804,30.0458,1
30.103,30.0811,30.0487,1
30.1392,30.1183,30.0815,1
30.1686,30.1461,30.1101,1
30.1555,30.1332,30.0992,1
30.1739,30.1529,30.1205,1
30.197,30.1742,30.141,1
30.2045,30.1841,30.1482,1
30.1711,30.1476,30.1145,1
30.1856,30.1627,30.127,1
30.2088,30.1887,30.1512,1
30.2054,30.1811,30.144,1
30.2297,30.2072,30.1709,1
30.2565,30.2333,30.1964,1
30.2776,30.2562,30.2229,1
30.2806,30.2564,30.2202,1
30.273,30.2484,30.2105,1
30.2867,30.2665,30.2323,1
30.3041,30.2826,30.2493,1
30.2881,30.2672,30.2316,1
30.2949,30.271,30.2348,1
30.3193,30.2984,30.2623,1
30.339,30.3173,30.2816,1
30.3294,30.3054,30.2688,1
30.3762,30.3523,30.3187,1
30.3435,30.3202,30.2875,1
30.352,30.3276,30.2946,1
30.3796,30.3595,30.3252,1
30.4152,30.3915,30.3566,1
30.3856,30.3643,30.3285,1
30.4396,30.419,30.3856,1
30.4214,30.3983,30.3651,1
30.4189,30.3941,30.3576,1
30.4311,30.4083,30.3708,1
30.46,30.4383,30.4055,1
30.4851,30.4604,30.4284,1
30.4502,30.4296,30.3945,1
30.481,30.4571,30.4216,1
30.506,30.4857,30.4522,1
30.4899,30.4683,30.4321,1
30.508,30.4848,30.451,1
30.5137,30.4922,30.4578,1
29.6352,29.618,29.5942,1
29.5995,29.5834,29.5571,1
